Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,RowSums,country,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,6.0,3.0,6.0,2.0,7.0,6.0,7.0,1.0,7.0,1.0,2.0,1.0,1.0,16.0,1.0,5.0,1.0,60.0,2.0,1.0,4.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,7.0,4.0,4.0,7.0,3.0,7.0,7.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,14.0,1.0,2.0,2.0,70.0,2.0,1.0,5.0,English
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,6.0,2.0,7.0,1.0,7.0,7.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,17.0,2.0,2.0,1.0,60.0,2.0,1.0,4.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,4.0,1.0,1.0,3.0,1.0,99.0,3.0,12.0,4.0,20.0,2.0,1.0,133.0,None
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,CL,1.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,2.0,1.0,2.0,14.0,1.0,1.0,2.0,60.0,2.0,1.0,1.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,BA,1.0,0.0,3.0,7.0,1.0,7.0,2.0,7.0,1.0,7.0,1.0,1.0,2.0,2.0,14.0,1.0,10.0,2.0,60.0,2.0,1.0,1.0,Cooking 
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,7.0,1.0,7.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,17.0,1.0,12.0,2.0,60.0,2.0,1.0,3.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,2.0,6.0,0.0,7.0,2.0,7.0,7.0,5.0,3.0,7.0,4.0,1.0,2.0,2.0,30.0,1.0,10.0,0.0,10.0,1.0,1.0,3.0,Administration
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,1.0,3.0,2.0,1.0,13.0,1.0,2.0,2.0,60.0,2.0,1.0,10.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,4.0,1.0,2.0,1.0,2.0,1.0,13.0,1.0,2.0,4.0,60.0,2.0,1.0,1.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,NONE,7.0,6.0,6.0,7.0,6.0,5.0,6.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,19.0,1.0,10.0,1.0,10.0,2.0,1.0,4.0,Geology
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,4.0,1.0,6.0,7.0,6.0,7.0,7.0,2.0,4.0,7.0,3.0,1.0,2.0,2.0,23.0,1.0,10.0,3.0,10.0,1.0,1.0,5.0,Medical
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,3.0,3.0,3.0,6.0,4.0,5.0,3.0,5.0,3.0,5.0,2.0,3.0,2.0,1.0,27.0,2.0,10.0,1.0,70.0,0.0,2.0,5.0,CE
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,3.0,1.0,1.0,19.0,2.0,1.0,3.0,60.0,2.0,1.0,4.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,6.0,4.0,4.0,5.0,7.0,2.0,5.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,15.0,1.0,2.0,2.0,60.0,2.0,1.0,5.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,4.0,1.0,7.0,5.0,7.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,19.0,3.0,1.0,1.0,60.0,2.0,1.0,2.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,4.0,2.0,4.0,7.0,6.0,7.0,7.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0,3.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,1.0,1.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,2.0,1.0,1.0,2.0,42.0,1.0,10.0,5.0,10.0,1.0,1.0,7.0,chemical engineering
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,3.0,6.0,5.0,6.0,7.0,6.0,7.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,24.0,1.0,10.0,1.0,10.0,1.0,1.0,3.0,Law
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,CA,5.0,4.0,5.0,7.0,5.0,7.0,7.0,7.0,4.0,7.0,1.0,2.0,2.0,1.0,16.0,1.0,1.0,1.0,50.0,2.0,1.0,2.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,IN,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,48.0,1.0,8.0,1.0,10.0,1.0,3.0,4.0,Ph D
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,GB,1.0,7.0,1.0,7.0,5.0,1.0,1.0,7.0,1.0,4.0,1.0,3.0,3.0,1.0,14.0,1.0,12.0,5.0,60.0,2.0,1.0,3.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,6.0,5.0,5.0,7.0,6.0,7.0,7.0,7.0,5.0,2.0,0.0,3.0,2.0,1.0,24.0,2.0,10.0,1.0,10.0,2.0,2.0,3.0,Marketing
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,5.0,3.0,7.0,7.0,6.0,7.0,7.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,17.0,1.0,10.0,1.0,10.0,2.0,1.0,5.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,3.0,2.0,1.0,13.0,1.0,4.0,5.0,30.0,2.0,1.0,2.0,
